"","id","Training.condition","Advert.1","Advert.2","Advert.3","Advert.4","election_reg","recall_num","recall_correct","name_correct","name_incorrect","CSC","BBA","SFI","CBB","FF","TPM","VFP","AT","useful_rank_1","useful_rank_2","useful_rank_3","useful_rank_4","useful_rank_5","useful_rank_6","useful_rank_6_TEXT","reg_know","EPE_1","EPE_2","EPE_3","EPE_4","general_confidence_1","general_confidence_2","general_confidence_3","general_confidence_4","general_confidence_5","general_confidence_6","general_confidence_7","general_confidence_8","general_confidence_9","democracy","political_interest","external_efficacy","internal_efficacy","SM_use","SM_frequency_1","partyID","age","gender","education","Ethnicity.simplified","EPE_mean","political_trust","political_mistrust","political_cynicism"
"413",423,"0","0","1","1","0",5,"Not sure","incorrect",1,0,"0","0","0","1","0","0","0","0",2,1,3,5,4,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",3,3,5,3,1,2,2,2,2,2,7,7,7,1,1,1,1,"None, No time at all ","Once a day	","I do not identify with any political party",55,"Female","No formal qualifications","White",3.5,1.66666666666667,2,7
"414",425,"1","1","0","0","1",4,"Not sure","incorrect",3,0,"1","1","0","1","0","0","0","0",1,3,4,2,5,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",4,4,4,4,4,5,4,4,5,5,4,5,4,3,4,3,2,"Less than 1/2 hour ","Once a day	","Conservative",57,"Male","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",4,4.33333333333333,4.66666666666667,4.33333333333333
"415",426,"0","0","1","1","0",2,"2","correct",3,0,"1","1","1","0","0","0","0","0",1,4,5,2,3,6,"","All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government",1,3,1,2,1,1,1,2,2,6,7,7,7,2,1,1,2,"None, No time at all ","Never","Green Party",44,"Male","Other, please specify","Asian",1.75,1,3.33333333333333,7
"416",427,"0","1","0","1","0",2,"1","incorrect",2,0,"0","1","0","1","0","0","0","0",3,2,1,4,5,6,"","Not sure",2,4,2,6,4,5,5,4,2,2,5,5,5,2,3,1,1,"None, No time at all ","Once every couple of days	","I do not identify with any political party",45,"Male","GCSE level, or equivalent","White",3.5,4.66666666666667,2.66666666666667,5
"417",428,"1","0","1","1","0",1,"4","incorrect",4,0,"1","1","1","1","0","0","0","0",1,3,2,5,4,6,"","Not sure",5,5,5,5,3,1,2,5,5,6,7,6,7,1,5,1,1,"1 to 2 hours ","Never","Scottish National Party (SNP)",66,"Male","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",5,2,5.33333333333333,6.66666666666667
"418",429,"1","1","0","1","0",2,"3","incorrect",3,0,"1","1","0","1","0","0","0","0",3,2,1,4,5,6,"","There are no regulatory controls on any type of political advertising during UK elections",5,6,6,5,5,4,3,3,3,5,6,4,5,3,4,3,2,"1 to 2 hours ","Once every couple of days	","Conservative",69,"Male","A-level, or equivalent","White",5.5,4,3.66666666666667,5
"419",430,"0","1","0","0","1",6,"Not sure","incorrect",2,0,"0","0","1","1","0","0","0","0",2,4,1,5,3,6,"","There are no regulatory controls on any type of political advertising during UK elections",5,5,5,6,5,4,3,3,3,5,5,3,6,3,4,3,2,"1/2 hour to 1 hour ","Once a day	","Conservative",80,"Male","A-level, or equivalent","White",5.25,4,3.66666666666667,4.66666666666667
"420",431,"0","0","1","0","1",2,"1","incorrect",2,0,"1","0","0","1","0","0","0","0",1,3,4,2,5,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",3,3,3,5,3,2,3,3,4,5,7,7,7,3,3,2,3,"Less than 1/2 hour ","2-5 times a day","Reform UK",57,"Female","A-level, or equivalent","White",3.5,2.66666666666667,4,7
"421",432,"0","0","1","1","0",3,"1","incorrect",1,0,"0","0","0","1","0","0","0","0",6,4,3,2,1,5,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",3,5,3,5,1,1,1,2,3,3,5,7,7,2,2,1,1,"Less than 1/2 hour ","Once a day	","Scottish National Party (SNP)",57,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",4,1,2.66666666666667,6.33333333333333
"422",433,"1","1","0","0","1",2,"4","incorrect",3,0,"1","1","0","1","0","0","0","0",1,2,5,4,6,3,"Ombudsman","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",5,5,3,5,2,2,1,6,5,6,6,6,6,1,4,1,2,"1/2 hour to 1 hour ","2-5 times a day","Green Party",46,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",4.5,1.66666666666667,5.66666666666667,6
"423",434,"0","0","1","1","0",3,"0","incorrect",2,0,"1","1","0","0","0","0","0","0",6,4,5,1,3,2,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",5,4,5,4,4,4,5,2,2,3,4,4,4,3,2,2,2,"Less than 1/2 hour ","2-5 times a day","I do not identify with any political party",34,"Female","Postgraduate (e.g. M.Sc, Ph.D)","White",4.5,4.33333333333333,2.33333333333333,4
"424",435,"1","0","1","0","1",2,"3","incorrect",3,0,"1","1","0","1","0","0","0","0",1,2,5,4,3,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",5,5,3,5,3,4,3,5,4,6,5,5,5,2,4,2,2,"Less than 1/2 hour ","Once a week	","Other, please specify___________",62,"Male","Postgraduate (e.g. M.Sc, Ph.D)","White",4.5,3.33333333333333,5,5
"425",436,"0","0","1","1","0",2,"0","incorrect",2,0,"1","0","1","0","0","0","0","0",5,1,2,3,4,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",4,4,4,5,3,3,3,3,4,4,5,5,5,2,3,2,3,"Less than 1/2 hour ","Once every couple of days	","Liberal Democrat",38,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",4.25,3,3.66666666666667,5
"426",437,"1","0","1","1","0",4,"1","incorrect",1,0,"1","0","0","0","0","0","0","0",1,3,4,2,5,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",5,5,5,2,2,5,2,6,2,6,5,6,6,1,5,1,3,"1 to 2 hours ","Once every couple of days	","Labour",32,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",4.25,3,4.66666666666667,5.66666666666667
"427",439,"0","1","0","1","0",2,"1","incorrect",3,0,"1","1","0","1","0","0","0","0",1,2,3,4,5,6,"","All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government",4,5,3,5,3,4,3,2,4,5,7,6,5,2,1,2,1,"Less than 1/2 hour ","2-5 times a day","Conservative",47,"Female","GCSE level, or equivalent","White",4.25,3.33333333333333,3.66666666666667,6
"428",440,"1","0","1","1","0",3,"1","incorrect",2,0,"0","1","0","1","0","0","0","0",1,3,5,2,4,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",5,5,6,6,4,4,3,2,2,2,4,5,4,3,3,3,2,"1/2 hour to 1 hour ","Once a day	","Labour",25,"Male","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",5.5,3.66666666666667,2,4.33333333333333
"429",441,"0","0","1","0","1",1,"Not sure","incorrect",2,0,"1","0","0","1","0","0","0","0",6,2,5,1,4,3,"","There are no regulatory controls on any type of political advertising during UK elections",5,5,6,6,1,1,2,6,7,6,6,7,7,1,3,1,1,"1/2 hour to 1 hour ","2-5 times a day","I do not identify with any political party",34,"Female","Postgraduate (e.g. M.Sc, Ph.D)","Other",5.5,1.33333333333333,6.33333333333333,6.66666666666667
"430",442,"0","0","1","0","1",4,"4","incorrect",3,0,"1","1","0","1","0","0","0","0",1,3,2,5,4,6,"religious leaders","All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government",4,3,4,5,4,4,4,3,3,3,5,5,5,2,3,2,2,"1/2 hour to 1 hour ","Never","Conservative",77,"Female","GCSE level, or equivalent","White",4,4,3,5
"431",443,"0","0","1","0","1",2,"3","incorrect",3,0,"1","1","0","1","0","0","0","0",4,2,1,3,5,6,"","All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government",6,6,7,5,1,3,3,3,2,6,7,7,6,1,4,1,2,"1/2 hour to 1 hour ","Once every couple of days	","Conservative",50,"Male","A-level, or equivalent","White",6,2.33333333333333,3.66666666666667,6.66666666666667
"432",444,"0","1","0","0","1",1,"2","correct",3,0,"1","1","0","1","0","0","0","0",1,5,2,3,4,6,"","Not sure",2,2,3,3,2,2,4,4,2,6,5,5,5,2,4,2,4,"Less than 1/2 hour ","Once a day	","Liberal Democrat",45,"Female","Postgraduate (e.g. M.Sc, Ph.D)","White",2.5,2.66666666666667,4,5
"433",445,"0","0","1","1","0",1,"3","incorrect",1,0,"0","0","0","1","0","0","0","0",5,3,1,2,4,6,"","There are no regulatory controls on any type of political advertising during UK elections",1,7,1,5,1,1,1,1,2,6,7,7,7,1,3,1,1,"1/2 hour to 1 hour ","Once every couple of days	","I do not identify with any political party",38,"Prefer not to say","A-level, or equivalent","White",3.5,1,3,7
"434",446,"1","1","0","0","1",1,"1","incorrect",3,0,"1","0","1","1","0","0","0","0",1,2,4,3,5,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",6,7,6,6,2,2,3,4,3,5,3,5,6,2,4,2,1,"1/2 hour to 1 hour ","Once a day	","Labour",72,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",6.25,2.33333333333333,4,4.66666666666667
"435",447,"1","0","1","0","1",4,"4","incorrect",1,0,"0","0","0","1","0","0","0","0",2,3,1,4,5,6,"","Not sure",3,4,4,4,1,1,4,5,5,5,7,7,7,1,3,1,2,"None, No time at all ","Once a week	","Reform UK",65,"Female","GCSE level, or equivalent","White",3.75,2,5,7
"436",448,"0","1","0","1","0",4,"3","incorrect",2,3,"0","1","0","1","1","1","1","0",4,1,3,2,5,6,"myself","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",5,6,5,6,4,5,3,4,4,5,4,5,5,2,3,3,3,"1/2 hour to 1 hour ","Once every couple of days	","Scottish National Party (SNP)",58,"Female","A-level, or equivalent","White",5.5,4,4.33333333333333,4.66666666666667
"437",449,"1","1","0","1","0",4,"2","correct",4,0,"1","1","1","1","0","0","0","0",4,1,3,2,5,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",4,6,4,5,1,4,3,3,4,2,6,7,6,1,4,1,1,"Less than 1/2 hour ","Never","I do not identify with any political party",76,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",4.75,2.66666666666667,3,6.33333333333333
"438",450,"1","0","1","0","1",2,"Not sure","incorrect",2,0,"1","0","0","1","0","0","0","0",1,2,3,5,4,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",3,6,2,5,4,2,2,3,3,5,5,5,3,3,4,3,1,"Less than 1/2 hour ","2-5 times a day","Conservative",42,"Female","A-level, or equivalent","White",4,2.66666666666667,3.66666666666667,4.33333333333333
"439",451,"0","1","0","1","0",2,"3","incorrect",3,0,"1","1","0","1","0","0","0","0",3,5,4,2,6,1,"the fools","Not sure",2,2,3,6,4,3,3,4,4,3,6,6,6,2,5,3,3,NA,"Less than once a week","I do not identify with any political party",65,"Male","Undergraduate University (e.g. BA, B.Sc, B.Ed)","Asian",3.25,3.33333333333333,3.66666666666667,6
"440",452,"1","1","0","0","1",5,"0","incorrect",0,0,"0","0","0","0","0","0","0","0",5,2,1,4,3,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",6,6,5,6,2,3,2,5,5,6,6,6,6,1,5,1,4,"1/2 hour to 1 hour ","Once a day	","Liberal Democrat",31,"Male","Postgraduate (e.g. M.Sc, Ph.D)","White",5.75,2.33333333333333,5.33333333333333,6
"441",453,"1","1","0","1","0",2,"Not sure","incorrect",2,0,"1","1","0","0","0","0","0","0",4,3,1,2,5,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",2,5,5,3,3,4,3,3,1,5,4,6,6,1,5,1,2,"1/2 hour to 1 hour ","2-5 times a day","Conservative",29,"Male","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",3.75,3.33333333333333,3,5.33333333333333
"442",454,"0","1","0","1","0",2,"0","incorrect",2,0,"0","0","1","1","0","0","0","0",1,3,5,2,4,6,"","Not sure",2,2,2,2,1,1,1,2,2,2,7,7,7,1,3,1,1,"Less than 1/2 hour ","Never","Labour",40,"Male","Undergraduate University (e.g. BA, B.Sc, B.Ed)","Asian",2,1,2,7
"443",455,"1","1","0","1","0",3,"Not sure","incorrect",4,0,"1","1","1","1","0","0","0","0",3,4,2,1,5,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",1,2,2,3,3,3,3,1,2,3,6,6,7,2,2,2,2,"None, No time at all ","Once a day	","Green Party",45,"Female","Postgraduate (e.g. M.Sc, Ph.D)","White",2,3,2,6.33333333333333
"444",456,"1","1","0","1","0",2,"1","incorrect",1,0,"0","0","0","1","0","0","0","0",2,3,4,1,5,6,"","Not sure",3,2,1,4,2,1,2,2,2,2,6,6,7,2,3,1,1,"Less than 1/2 hour ","2-5 times a day","Labour",37,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",2.5,1.66666666666667,2,6.33333333333333
"445",457,"0","1","0","1","0",4,"0","incorrect",2,0,"1","0","0","1","0","0","0","0",2,3,1,5,4,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",4,5,6,5,5,2,4,4,5,5,7,7,1,2,5,3,3,"1 to 2 hours ","2-5 times a day","Labour",39,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",5,3.66666666666667,4.66666666666667,5
"446",458,"0","1","0","0","1",4,"2","correct",2,0,"1","0","0","1","0","0","0","0",2,4,1,3,5,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",5,4,4,4,5,4,3,3,3,3,5,5,5,2,2,2,2,"Less than 1/2 hour ","Once a day	","Conservative",53,"Male","GCSE level, or equivalent","White",4.25,4,3,5
"447",459,"0","0","1","0","1",2,"2","correct",2,0,"1","0","1","0","0","0","0","0",1,3,6,4,2,5,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",3,4,5,4,2,3,2,2,4,6,6,6,6,2,3,2,3,"1/2 hour to 1 hour ","Once a day	","Labour",29,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",4,2.33333333333333,4,6
"448",460,"0","0","1","1","0",3,"1","incorrect",1,0,"0","0","0","1","0","0","0","0",5,2,1,4,3,6,"","All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government",2,3,4,4,5,3,3,4,4,4,5,6,6,3,2,2,2,"None, No time at all ","2-5 times a day","I do not identify with any political party",23,"Female","Postgraduate (e.g. M.Sc, Ph.D)","White",3.25,3.66666666666667,4,5.66666666666667
"449",461,"0","1","0","0","1",3,"1","incorrect",0,0,"0","0","0","0","0","0","0","0",2,5,1,3,6,4,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",3,3,3,3,3,2,2,4,4,4,6,6,6,2,3,2,2,"Less than 1/2 hour ","2-5 times a day","Labour",36,"Female","A-level, or equivalent","White",3,2.33333333333333,4,6
"450",462,"0","1","0","1","0",2,"3","incorrect",3,0,"1","0","1","1","0","0","0","0",1,2,5,4,3,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",5,5,3,5,3,3,3,6,5,6,4,5,5,1,5,2,2,"1/2 hour to 1 hour ","Never","Labour",54,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",4.5,3,5.66666666666667,4.66666666666667
"451",463,"0","1","0","1","0",3,"4","incorrect",3,0,"1","1","0","1","0","0","0","0",2,1,4,5,3,6,"","All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government",5,5,5,5,2,1,3,2,2,2,3,6,3,2,3,1,2,"None, No time at all ","Once a day	","I do not identify with any political party",51,"Male","A-level, or equivalent","White",5,2,2,4
"452",464,"0","0","1","0","1",3,"Not sure","incorrect",0,1,"0","0","0","0","1","0","0","0",1,5,2,3,4,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",2,2,2,5,1,2,2,3,3,3,6,5,7,1,3,2,3,"Less than 1/2 hour ","Once every couple of days	","Liberal Democrat",23,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",2.75,1.66666666666667,3,6
"453",465,"1","1","0","1","0",2,"2","correct",3,0,"1","0","1","1","0","0","0","0",4,2,3,1,5,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",5,5,5,5,1,2,1,3,3,5,7,7,7,1,4,1,2,"1 to 2 hours ","Never","I do not identify with any political party",61,"Male","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",5,1.33333333333333,3.66666666666667,7
"454",466,"1","0","1","0","1",3,"3","incorrect",2,0,"0","0","1","1","0","0","0","0",1,2,3,4,5,6,"Campaigners","All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government",4,5,4,5,2,2,2,3,2,4,7,6,6,2,3,2,2,"1/2 hour to 1 hour ","2-5 times a day","Liberal Democrat",59,"Male","A-level, or equivalent","White",4.5,2,3,6.33333333333333
"455",467,"1","1","0","0","1",2,"4","incorrect",3,1,"1","1","0","1","1","0","0","0",1,2,3,5,4,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",3,3,3,3,1,2,1,5,5,5,6,7,7,1,4,1,2,"Less than 1/2 hour ","2-5 times a day","Labour",53,"Female","A-level, or equivalent","White",3,1.33333333333333,5,6.66666666666667
"456",468,"0","0","1","0","1",6,"Not sure","incorrect",4,0,"1","1","1","1","0","0","0","0",2,5,3,1,4,6,"","Not sure",4,5,5,5,4,4,3,1,2,3,4,5,5,4,3,2,3,"Less than 1/2 hour ","Once every couple of days	","Labour",45,"Male","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",4.75,3.66666666666667,2,4.66666666666667
"457",469,"1","0","1","1","0",2,"2","correct",4,0,"1","1","1","1","0","0","0","0",5,4,2,1,3,6,"","There are no regulatory controls on any type of political advertising during UK elections",7,4,6,4,4,2,1,2,1,2,5,5,5,3,3,3,5,"Less than 1/2 hour ","Once a day	","Labour",23,"Female","Postgraduate (e.g. M.Sc, Ph.D)","White",5.25,2.33333333333333,1.66666666666667,5
"458",470,"0","0","1","0","1",4,"1","incorrect",4,0,"1","1","1","1","0","0","0","0",2,3,4,1,5,6,"","All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government",3,3,5,6,3,5,3,3,4,3,6,6,5,3,2,3,1,"Less than 1/2 hour ","Once a day	","I do not identify with any political party",69,"Female","A-level, or equivalent","White",4.25,3.66666666666667,3.33333333333333,5.66666666666667
"459",471,"1","1","0","0","1",2,"1","incorrect",4,0,"1","1","1","1","0","0","0","0",1,2,3,4,5,6,"","All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government",7,6,5,7,3,2,3,1,5,6,5,5,4,4,1,3,2,"Less than 1/2 hour ","Once a day	","I do not identify with any political party",51,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",6.25,2.66666666666667,4,4.66666666666667
"460",472,"1","1","0","1","0",3,"1","incorrect",2,0,"1","0","0","1","0","0","0","0",2,4,3,1,5,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",2,3,2,2,7,3,5,5,3,6,6,6,7,1,3,1,2,"Less than 1/2 hour ","Once a day	","Liberal Democrat",28,"Female","Postgraduate (e.g. M.Sc, Ph.D)","White",2.25,5,4.66666666666667,6.33333333333333
"461",473,"0","0","1","1","0",2,"3","incorrect",4,0,"1","1","1","1","0","0","0","0",1,5,2,3,4,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",3,3,4,4,4,4,4,4,5,3,5,5,5,2,3,2,1,"Less than 1/2 hour ","2-5 times a day","Liberal Democrat",79,"Female","A-level, or equivalent","White",3.5,4,4,5
"462",475,"0","1","0","1","0",1,"3","incorrect",3,0,"1","0","1","1","0","0","0","0",3,5,2,4,6,1,"I don't know ","Not sure",5,6,6,5,1,2,2,5,5,5,7,7,7,1,3,1,1,"Less than 1/2 hour ","2-5 times a day","Liberal Democrat",52,"Female","Postgraduate (e.g. M.Sc, Ph.D)","White",5.5,1.66666666666667,5,7
"463",476,"1","0","1","0","1",1,"0","incorrect",2,1,"1","0","1","0","1","0","0","0",2,3,1,4,5,6,"","There are no regulatory controls on any type of political advertising during UK elections",2,5,2,7,1,1,1,1,2,3,7,7,7,1,2,1,2,"None, No time at all ","Never","Green Party",35,"Female","A-level, or equivalent","White",4,1,2,7
"464",477,"0","0","1","1","0",3,"2","correct",1,0,"0","0","0","1","0","0","0","0",3,4,1,5,2,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",4,2,5,4,2,4,3,4,5,3,4,3,4,2,2,3,3,"1/2 hour to 1 hour ","Once a day	","Reform UK",41,"Male","GCSE level, or equivalent","White",3.75,3,4,3.66666666666667
"465",478,"0","1","0","0","1",3,"2","correct",4,0,"1","1","1","1","0","0","0","0",6,3,4,1,5,2,"","Not sure",5,6,5,5,4,2,3,5,6,5,5,5,5,1,3,2,2,"1/2 hour to 1 hour ","Once every couple of days	","Labour",24,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)",NA,5.25,3,5.33333333333333,5
"466",479,"1","1","0","0","1",3,"2","correct",2,0,"1","0","0","1","0","0","0","0",2,4,3,1,5,6,"","Not sure",2,3,2,2,3,4,2,2,2,2,5,6,7,3,2,2,2,"1/2 hour to 1 hour ","More than five times a day	","I do not identify with any political party",62,"Female","GCSE level, or equivalent","White",2.25,3,2,6
"467",480,"0","0","1","1","0",2,"3","incorrect",3,0,"1","1","0","1","0","0","0","0",4,3,2,6,1,5,"","Not sure",2,2,2,3,2,1,2,2,2,3,6,7,6,1,3,2,2,"Less than 1/2 hour ","Once a week	","Liberal Democrat",65,"Female","GCSE level, or equivalent","White",2.25,1.66666666666667,2.33333333333333,6.33333333333333
"468",481,"0","1","0","0","1",5,"2","correct",2,0,"0","0","1","1","0","0","0","0",2,1,5,4,3,6,"","All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government",4,4,5,6,3,4,3,4,4,4,5,5,5,3,4,2,1,"Less than 1/2 hour ","Once a day	","Conservative",50,"Female","GCSE level, or equivalent","White",4.75,3.33333333333333,4,5
"469",482,"1","0","1","0","1",1,"0","incorrect",3,0,"0","1","1","1","0","0","0","0",2,1,5,4,3,6,"","All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government",3,2,4,2,2,2,1,2,2,6,7,7,7,1,3,1,1,"Less than 1/2 hour ","2-5 times a day","I do not identify with any political party",65,"Male","Postgraduate (e.g. M.Sc, Ph.D)","White",2.75,1.66666666666667,3.33333333333333,7
"470",483,"0","0","1","1","0",4,"4","incorrect",4,0,"1","1","1","1","0","0","0","0",1,4,3,2,5,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",5,5,5,5,3,1,3,5,6,5,7,6,7,1,3,2,2,"Less than 1/2 hour ","More than five times a day	","Labour",41,"Male","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",5,2.33333333333333,5.33333333333333,6.66666666666667
"471",484,"1","1","0","0","1",3,"2","correct",1,0,"1","0","0","0","0","0","0","0",1,2,5,4,3,6,"","There are no regulatory controls on any type of political advertising during UK elections",6,4,5,5,3,3,3,4,4,5,6,7,6,2,3,2,1,"Less than 1/2 hour ","Once a day	","Reform UK",55,"Male","GCSE level, or equivalent","White",5,3,4.33333333333333,6.33333333333333
"472",485,"0","0","1","1","0",3,"2","correct",3,0,"1","1","0","1","0","0","0","0",1,2,5,4,3,6,"","Not sure",5,4,4,5,2,3,3,4,4,4,6,6,6,2,4,1,1,"1/2 hour to 1 hour ","2-5 times a day","Labour",49,"Female","GCSE level, or equivalent","White",4.5,2.66666666666667,4,6
"473",486,"0","1","0","0","1",3,"3","incorrect",1,2,"0","1","0","0","1","0","1","0",1,2,4,5,3,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",3,2,4,4,5,5,4,4,4,5,6,6,7,2,4,3,2,"1/2 hour to 1 hour ","More than five times a day	","Conservative",68,"Male","A-level, or equivalent","White",3.25,4.66666666666667,4.33333333333333,6.33333333333333
"474",487,"1","1","0","0","1",2,"2","correct",2,0,"1","0","0","1","0","0","0","0",1,2,4,3,5,6,"","Not sure",5,5,5,5,2,2,2,3,5,4,6,6,6,1,4,1,1,NA,"Never","Reform UK",69,"Male","A-level, or equivalent","White",5,2,4,6
"475",488,"1","1","0","0","1",6,"1","incorrect",4,0,"1","1","1","1","0","0","0","0",5,2,1,4,6,3,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",5,5,5,3,6,5,5,5,3,5,3,3,4,3,5,3,2,"1/2 hour to 1 hour ","2-5 times a day","Labour",55,"Male","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",4.5,5.33333333333333,4.33333333333333,3.33333333333333
"476",489,"1","0","1","1","0",3,"3","incorrect",2,0,"1","1","0","0","0","0","0","0",4,3,2,1,5,6,"","Not sure",4,5,5,5,3,5,5,1,4,2,4,6,4,3,2,3,3,"Less than 1/2 hour ","2-5 times a day","Conservative",77,"Female","A-level, or equivalent","White",4.75,4.33333333333333,2.33333333333333,4.66666666666667
"477",490,"1","1","0","1","0",1,"3","incorrect",3,0,"1","0","1","1","0","0","0","0",5,1,4,3,2,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",6,6,6,6,5,5,5,4,6,7,4,4,3,3,4,3,3,"1/2 hour to 1 hour ","Once every couple of days	","Conservative",63,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",6,5,5.66666666666667,3.66666666666667
"478",491,"0","0","1","1","0",2,"0","incorrect",2,0,"1","0","1","0","0","0","0","0",4,1,2,3,5,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",7,7,4,7,1,4,2,7,7,7,5,6,7,1,5,2,2,"1 to 2 hours ","Less than once a week","Liberal Democrat",50,"Male","Postgraduate (e.g. M.Sc, Ph.D)","White",6.25,2.33333333333333,7,6
