"id","Training.condition","Advert.1","Advert.2","Advert.3","Advert.4","election_reg","recall_num","recall_correct","name_correct","name_incorrect","CSC","BBA","SFI","CBB","FF","TPM","VFP","AT","useful_rank_1","useful_rank_2","useful_rank_3","useful_rank_4","useful_rank_5","useful_rank_6","useful_rank_6_TEXT","reg_know","EPE_1","EPE_2","EPE_3","EPE_4","general_confidence_1","general_confidence_2","general_confidence_3","general_confidence_4","general_confidence_5","general_confidence_6","general_confidence_7","general_confidence_8","general_confidence_9","democracy","political_interest","external_efficacy","internal_efficacy","SM_use","SM_frequency_1","partyID","age","gender","education","Ethnicity.simplified","EPE_mean","political_trust","political_mistrust","political_cynicism"
400,"1","0","1","0","1",5,"Not sure","incorrect",1,1,"0","0","0","1","0","0","1","0",1,6,4,5,2,3,"","All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government",2,1,2,3,5,5,5,5,5,5,4,5,6,3,3,1,2,"Less than 1/2 hour ","Once a day	","Labour",25,"Female","Postgraduate (e.g. M.Sc, Ph.D)","Mixed",2,5,5,5
401,"1","0","1","0","1",3,"2","correct",2,0,"1","0","0","1","0","0","0","0",1,3,2,4,5,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",5,5,5,3,2,2,2,2,3,5,6,7,6,3,3,2,3,"1/2 hour to 1 hour ","2-5 times a day","Labour",55,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",4.5,2,3.33333333333333,6.33333333333333
402,"0","1","0","0","1",2,"3","incorrect",4,0,"1","1","1","1","0","0","0","0",1,4,3,2,5,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",5,6,5,6,3,4,3,4,4,4,6,6,5,2,3,2,2,"Less than 1/2 hour ","Once every couple of days	","I do not identify with any political party",37,"Female","Postgraduate (e.g. M.Sc, Ph.D)","White",5.5,3.33333333333333,4,5.66666666666667
403,"1","0","1","0","1",5,"1","incorrect",2,0,"1","0","1","0","0","0","0","0",1,4,5,2,3,6,"","All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government",4,4,4,5,4,4,4,3,3,4,6,6,7,3,3,2,2,"Less than 1/2 hour ","Once a day	","Labour",48,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",4.25,4,3.33333333333333,6.33333333333333
404,"0","1","0","1","0",4,"3","incorrect",3,0,"0","1","1","1","0","0","0","0",4,6,3,5,2,1,"","Not sure",4,4,4,4,2,3,2,4,3,6,7,7,7,1,4,1,1,"1/2 hour to 1 hour ","Never","I do not identify with any political party",74,"Female","A-level, or equivalent","White",4,2.33333333333333,4.33333333333333,7
405,"0","1","0","1","0",1,"2","correct",1,0,"0","0","0","1","0","0","0","0",2,6,5,1,3,4,"Social Media Security","There are no regulatory controls on any type of political advertising during UK elections",7,7,7,7,6,5,3,3,2,2,3,2,5,3,4,4,5,"1 to 2 hours ","More than five times a day	","Labour",57,"Male","GCSE level, or equivalent","White",7,4.66666666666667,2.33333333333333,3.33333333333333
407,"0","1","0","1","0",2,"3","incorrect",1,0,"1","0","0","0","0","0","0","0",1,3,5,2,4,6,"","All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government",4,3,4,5,5,4,4,5,5,5,4,4,3,2,5,2,2,"1/2 hour to 1 hour ","Once every couple of days	","Labour",63,"Male","Postgraduate (e.g. M.Sc, Ph.D)","White",4,4.33333333333333,5,3.66666666666667
408,"1","1","0","0","1",1,"2","correct",3,0,"1","0","1","1","0","0","0","0",5,2,3,1,4,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",6,6,5,6,2,3,5,5,6,7,6,7,6,2,4,2,3,"1/2 hour to 1 hour ","2-5 times a day","Labour",56,"Female","Postgraduate (e.g. M.Sc, Ph.D)","White",5.75,3.33333333333333,6,6.33333333333333
409,"1","0","1","1","0",1,"2","correct",2,0,"0","1","1","0","0","0","0","0",3,1,4,2,5,6,"","All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government",6,6,6,6,2,2,3,6,6,6,6,6,6,2,5,2,3,"1/2 hour to 1 hour ","Once a day	","Labour",44,"Male","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",6,2.33333333333333,6,6
410,"1","1","0","1","0",4,"3","incorrect",3,0,"1","0","1","1","0","0","0","0",1,4,3,2,5,6,"","Not sure",3,3,5,5,2,3,2,2,3,4,5,5,6,2,4,1,1,"1/2 hour to 1 hour ","Once a week	","Conservative",69,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",4,2.33333333333333,3,5.33333333333333
411,"1","0","1","1","0",2,"3","incorrect",3,0,"1","0","1","1","0","0","0","0",1,2,5,3,4,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",6,5,6,5,3,5,1,2,2,3,4,5,2,2,4,2,2,"1 to 2 hours ","Once a week	","Labour",43,"Female","Postgraduate (e.g. M.Sc, Ph.D)","White",5.5,3,2.33333333333333,3.66666666666667
412,"1","1","0","0","1",2,"1","incorrect",0,1,"0","0","0","0","1","0","0","0",2,1,5,3,4,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",1,2,2,3,2,2,2,5,5,4,6,7,6,2,3,2,2,"Less than 1/2 hour ","2-5 times a day","Labour",37,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",2,2,4.66666666666667,6.33333333333333
413,"1","1","0","0","1",2,"1","incorrect",3,1,"1","0","1","1","0","0","0","1",2,1,4,3,5,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",7,7,6,7,2,4,4,5,5,6,7,7,7,3,4,2,2,"1/2 hour to 1 hour ","Once every couple of days	","Labour",66,"Male","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",6.75,3.33333333333333,5.33333333333333,7
414,"1","1","0","0","1",2,"0","incorrect",3,0,"1","0","1","1","0","0","0","0",1,2,3,4,5,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",1,1,1,2,3,4,2,5,6,6,6,6,4,3,4,4,3,"1/2 hour to 1 hour ","2-5 times a day","Labour",28,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",1.25,3,5.66666666666667,5.33333333333333
415,"0","1","0","1","0",2,"3","incorrect",2,0,"1","0","0","1","0","0","0","0",1,4,3,2,5,6,"","There are no regulatory controls on any type of political advertising during UK elections",3,5,4,4,2,2,2,4,5,4,6,6,6,1,4,1,1,"Less than 1/2 hour ","Less than once a week","Liberal Democrat",73,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",4,2,4.33333333333333,6
416,"0","0","1","0","1",2,"3","incorrect",3,0,"1","1","0","1","0","0","0","0",1,5,3,2,4,6,"","There are no regulatory controls on any type of political advertising during UK elections",2,4,2,4,2,2,3,3,1,1,6,7,6,1,2,1,1,"Less than 1/2 hour ","2-5 times a day","Labour",46,"Female","A-level, or equivalent","White",3,2.33333333333333,1.66666666666667,6.33333333333333
417,"0","0","1","1","0",3,"4","incorrect",4,0,"1","1","1","1","0","0","0","0",1,3,4,2,5,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",5,5,5,5,2,2,3,4,4,4,6,6,6,1,3,2,2,"Less than 1/2 hour ","2-5 times a day","Green Party",40,"Female","A-level, or equivalent","White",5,2.33333333333333,4,6
418,"1","0","1","0","1",4,"3","incorrect",3,0,"1","1","0","1","0","0","0","0",1,3,5,2,4,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",3,3,4,3,2,3,2,3,3,4,5,6,6,2,4,2,2,"1/2 hour to 1 hour ","Never","I do not identify with any political party",62,"Male","Other, please specify","White",3.25,2.33333333333333,3.33333333333333,5.66666666666667
419,"1","0","1","1","0",4,"3","incorrect",3,0,"1","1","1","0","0","0","0","0",1,3,6,5,4,2,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",4,4,4,4,4,4,4,3,3,4,4,4,4,2,3,3,2,"Less than 1/2 hour ","2-5 times a day","I do not identify with any political party",67,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",4,4,3.33333333333333,4
420,"0","0","1","0","1",4,"4","incorrect",1,1,"0","0","0","1","0","1","0","0",1,2,3,4,5,6,"","There are no regulatory controls on any type of political advertising during UK elections",5,7,5,4,2,2,2,3,2,2,5,5,2,1,2,1,3,"None, No time at all ","Never","Labour",36,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","Black",5.25,2,2.33333333333333,4
421,"1","0","1","1","0",2,"4","incorrect",4,0,"1","1","1","1","0","0","0","0",2,1,3,5,4,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",4,5,4,5,2,3,1,5,2,6,7,7,7,2,4,1,1,"1/2 hour to 1 hour ","Once every couple of days	","Labour",60,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",4.5,2,4.33333333333333,7
422,"0","0","1","1","0",3,"2","correct",3,0,"1","0","1","1","0","0","0","0",3,4,2,1,5,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",2,5,3,4,2,1,2,4,5,4,4,5,6,2,3,1,1,"1 to 2 hours ","Never","Green Party",37,"Male","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",3.5,1.66666666666667,4.33333333333333,5
423,"0","0","1","1","0",5,"Not sure","incorrect",1,0,"0","0","0","1","0","0","0","0",2,1,3,5,4,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",3,3,5,3,1,2,2,2,2,2,7,7,7,1,1,1,1,"None, No time at all ","Once a day	","I do not identify with any political party",55,"Female","No formal qualifications","White",3.5,1.66666666666667,2,7
425,"1","1","0","0","1",4,"Not sure","incorrect",3,0,"1","1","0","1","0","0","0","0",1,3,4,2,5,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",4,4,4,4,4,5,4,4,5,5,4,5,4,3,4,3,2,"Less than 1/2 hour ","Once a day	","Conservative",57,"Male","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",4,4.33333333333333,4.66666666666667,4.33333333333333
426,"0","0","1","1","0",2,"2","correct",3,0,"1","1","1","0","0","0","0","0",1,4,5,2,3,6,"","All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government",1,3,1,2,1,1,1,2,2,6,7,7,7,2,1,1,2,"None, No time at all ","Never","Green Party",44,"Male","Other, please specify","Asian",1.75,1,3.33333333333333,7
427,"0","1","0","1","0",2,"1","incorrect",2,0,"0","1","0","1","0","0","0","0",3,2,1,4,5,6,"","Not sure",2,4,2,6,4,5,5,4,2,2,5,5,5,2,3,1,1,"None, No time at all ","Once every couple of days	","I do not identify with any political party",45,"Male","GCSE level, or equivalent","White",3.5,4.66666666666667,2.66666666666667,5
428,"1","0","1","1","0",1,"4","incorrect",4,0,"1","1","1","1","0","0","0","0",1,3,2,5,4,6,"","Not sure",5,5,5,5,3,1,2,5,5,6,7,6,7,1,5,1,1,"1 to 2 hours ","Never","Scottish National Party (SNP)",66,"Male","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",5,2,5.33333333333333,6.66666666666667
429,"1","1","0","1","0",2,"3","incorrect",3,0,"1","1","0","1","0","0","0","0",3,2,1,4,5,6,"","There are no regulatory controls on any type of political advertising during UK elections",5,6,6,5,5,4,3,3,3,5,6,4,5,3,4,3,2,"1 to 2 hours ","Once every couple of days	","Conservative",69,"Male","A-level, or equivalent","White",5.5,4,3.66666666666667,5
430,"0","1","0","0","1",6,"Not sure","incorrect",2,0,"0","0","1","1","0","0","0","0",2,4,1,5,3,6,"","There are no regulatory controls on any type of political advertising during UK elections",5,5,5,6,5,4,3,3,3,5,5,3,6,3,4,3,2,"1/2 hour to 1 hour ","Once a day	","Conservative",80,"Male","A-level, or equivalent","White",5.25,4,3.66666666666667,4.66666666666667
431,"0","0","1","0","1",2,"1","incorrect",2,0,"1","0","0","1","0","0","0","0",1,3,4,2,5,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",3,3,3,5,3,2,3,3,4,5,7,7,7,3,3,2,3,"Less than 1/2 hour ","2-5 times a day","Reform UK",57,"Female","A-level, or equivalent","White",3.5,2.66666666666667,4,7
432,"0","0","1","1","0",3,"1","incorrect",1,0,"0","0","0","1","0","0","0","0",6,4,3,2,1,5,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",3,5,3,5,1,1,1,2,3,3,5,7,7,2,2,1,1,"Less than 1/2 hour ","Once a day	","Scottish National Party (SNP)",57,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",4,1,2.66666666666667,6.33333333333333
433,"1","1","0","0","1",2,"4","incorrect",3,0,"1","1","0","1","0","0","0","0",1,2,5,4,6,3,"Ombudsman","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",5,5,3,5,2,2,1,6,5,6,6,6,6,1,4,1,2,"1/2 hour to 1 hour ","2-5 times a day","Green Party",46,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",4.5,1.66666666666667,5.66666666666667,6
434,"0","0","1","1","0",3,"0","incorrect",2,0,"1","1","0","0","0","0","0","0",6,4,5,1,3,2,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",5,4,5,4,4,4,5,2,2,3,4,4,4,3,2,2,2,"Less than 1/2 hour ","2-5 times a day","I do not identify with any political party",34,"Female","Postgraduate (e.g. M.Sc, Ph.D)","White",4.5,4.33333333333333,2.33333333333333,4
435,"1","0","1","0","1",2,"3","incorrect",3,0,"1","1","0","1","0","0","0","0",1,2,5,4,3,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",5,5,3,5,3,4,3,5,4,6,5,5,5,2,4,2,2,"Less than 1/2 hour ","Once a week	","Other, please specify___________",62,"Male","Postgraduate (e.g. M.Sc, Ph.D)","White",4.5,3.33333333333333,5,5
436,"0","0","1","1","0",2,"0","incorrect",2,0,"1","0","1","0","0","0","0","0",5,1,2,3,4,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",4,4,4,5,3,3,3,3,4,4,5,5,5,2,3,2,3,"Less than 1/2 hour ","Once every couple of days	","Liberal Democrat",38,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",4.25,3,3.66666666666667,5
437,"1","0","1","1","0",4,"1","incorrect",1,0,"1","0","0","0","0","0","0","0",1,3,4,2,5,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",5,5,5,2,2,5,2,6,2,6,5,6,6,1,5,1,3,"1 to 2 hours ","Once every couple of days	","Labour",32,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",4.25,3,4.66666666666667,5.66666666666667
439,"0","1","0","1","0",2,"1","incorrect",3,0,"1","1","0","1","0","0","0","0",1,2,3,4,5,6,"","All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government",4,5,3,5,3,4,3,2,4,5,7,6,5,2,1,2,1,"Less than 1/2 hour ","2-5 times a day","Conservative",47,"Female","GCSE level, or equivalent","White",4.25,3.33333333333333,3.66666666666667,6
440,"1","0","1","1","0",3,"1","incorrect",2,0,"0","1","0","1","0","0","0","0",1,3,5,2,4,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",5,5,6,6,4,4,3,2,2,2,4,5,4,3,3,3,2,"1/2 hour to 1 hour ","Once a day	","Labour",25,"Male","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",5.5,3.66666666666667,2,4.33333333333333
441,"0","0","1","0","1",1,"Not sure","incorrect",2,0,"1","0","0","1","0","0","0","0",6,2,5,1,4,3,"","There are no regulatory controls on any type of political advertising during UK elections",5,5,6,6,1,1,2,6,7,6,6,7,7,1,3,1,1,"1/2 hour to 1 hour ","2-5 times a day","I do not identify with any political party",34,"Female","Postgraduate (e.g. M.Sc, Ph.D)","Other",5.5,1.33333333333333,6.33333333333333,6.66666666666667
442,"0","0","1","0","1",4,"4","incorrect",3,0,"1","1","0","1","0","0","0","0",1,3,2,5,4,6,"religious leaders","All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government",4,3,4,5,4,4,4,3,3,3,5,5,5,2,3,2,2,"1/2 hour to 1 hour ","Never","Conservative",77,"Female","GCSE level, or equivalent","White",4,4,3,5
443,"0","0","1","0","1",2,"3","incorrect",3,0,"1","1","0","1","0","0","0","0",4,2,1,3,5,6,"","All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government",6,6,7,5,1,3,3,3,2,6,7,7,6,1,4,1,2,"1/2 hour to 1 hour ","Once every couple of days	","Conservative",50,"Male","A-level, or equivalent","White",6,2.33333333333333,3.66666666666667,6.66666666666667
444,"0","1","0","0","1",1,"2","correct",3,0,"1","1","0","1","0","0","0","0",1,5,2,3,4,6,"","Not sure",2,2,3,3,2,2,4,4,2,6,5,5,5,2,4,2,4,"Less than 1/2 hour ","Once a day	","Liberal Democrat",45,"Female","Postgraduate (e.g. M.Sc, Ph.D)","White",2.5,2.66666666666667,4,5
445,"0","0","1","1","0",1,"3","incorrect",1,0,"0","0","0","1","0","0","0","0",5,3,1,2,4,6,"","There are no regulatory controls on any type of political advertising during UK elections",1,7,1,5,1,1,1,1,2,6,7,7,7,1,3,1,1,"1/2 hour to 1 hour ","Once every couple of days	","I do not identify with any political party",38,"Prefer not to say","A-level, or equivalent","White",3.5,1,3,7
446,"1","1","0","0","1",1,"1","incorrect",3,0,"1","0","1","1","0","0","0","0",1,2,4,3,5,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",6,7,6,6,2,2,3,4,3,5,3,5,6,2,4,2,1,"1/2 hour to 1 hour ","Once a day	","Labour",72,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",6.25,2.33333333333333,4,4.66666666666667
447,"1","0","1","0","1",4,"4","incorrect",1,0,"0","0","0","1","0","0","0","0",2,3,1,4,5,6,"","Not sure",3,4,4,4,1,1,4,5,5,5,7,7,7,1,3,1,2,"None, No time at all ","Once a week	","Reform UK",65,"Female","GCSE level, or equivalent","White",3.75,2,5,7
448,"0","1","0","1","0",4,"3","incorrect",2,3,"0","1","0","1","1","1","1","0",4,1,3,2,5,6,"myself","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",5,6,5,6,4,5,3,4,4,5,4,5,5,2,3,3,3,"1/2 hour to 1 hour ","Once every couple of days	","Scottish National Party (SNP)",58,"Female","A-level, or equivalent","White",5.5,4,4.33333333333333,4.66666666666667
449,"1","1","0","1","0",4,"2","correct",4,0,"1","1","1","1","0","0","0","0",4,1,3,2,5,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",4,6,4,5,1,4,3,3,4,2,6,7,6,1,4,1,1,"Less than 1/2 hour ","Never","I do not identify with any political party",76,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",4.75,2.66666666666667,3,6.33333333333333
450,"1","0","1","0","1",2,"Not sure","incorrect",2,0,"1","0","0","1","0","0","0","0",1,2,3,5,4,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",3,6,2,5,4,2,2,3,3,5,5,5,3,3,4,3,1,"Less than 1/2 hour ","2-5 times a day","Conservative",42,"Female","A-level, or equivalent","White",4,2.66666666666667,3.66666666666667,4.33333333333333
451,"0","1","0","1","0",2,"3","incorrect",3,0,"1","1","0","1","0","0","0","0",3,5,4,2,6,1,"the fools","Not sure",2,2,3,6,4,3,3,4,4,3,6,6,6,2,5,3,3,"More than 2 hours ","Less than once a week","I do not identify with any political party",65,"Male","Undergraduate University (e.g. BA, B.Sc, B.Ed)","Asian",3.25,3.33333333333333,3.66666666666667,6
452,"1","1","0","0","1",5,"0","incorrect",0,0,"0","0","0","0","0","0","0","0",5,2,1,4,3,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",6,6,5,6,2,3,2,5,5,6,6,6,6,1,5,1,4,"1/2 hour to 1 hour ","Once a day	","Liberal Democrat",31,"Male","Postgraduate (e.g. M.Sc, Ph.D)","White",5.75,2.33333333333333,5.33333333333333,6
453,"1","1","0","1","0",2,"Not sure","incorrect",2,0,"1","1","0","0","0","0","0","0",4,3,1,2,5,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",2,5,5,3,3,4,3,3,1,5,4,6,6,1,5,1,2,"1/2 hour to 1 hour ","2-5 times a day","Conservative",29,"Male","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",3.75,3.33333333333333,3,5.33333333333333
454,"0","1","0","1","0",2,"0","incorrect",2,0,"0","0","1","1","0","0","0","0",1,3,5,2,4,6,"","Not sure",2,2,2,2,1,1,1,2,2,2,7,7,7,1,3,1,1,"Less than 1/2 hour ","Never","Labour",40,"Male","Undergraduate University (e.g. BA, B.Sc, B.Ed)","Asian",2,1,2,7
455,"1","1","0","1","0",3,"Not sure","incorrect",4,0,"1","1","1","1","0","0","0","0",3,4,2,1,5,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",1,2,2,3,3,3,3,1,2,3,6,6,7,2,2,2,2,"None, No time at all ","Once a day	","Green Party",45,"Female","Postgraduate (e.g. M.Sc, Ph.D)","White",2,3,2,6.33333333333333
456,"1","1","0","1","0",2,"1","incorrect",1,0,"0","0","0","1","0","0","0","0",2,3,4,1,5,6,"","Not sure",3,2,1,4,2,1,2,2,2,2,6,6,7,2,3,1,1,"Less than 1/2 hour ","2-5 times a day","Labour",37,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",2.5,1.66666666666667,2,6.33333333333333
457,"0","1","0","1","0",4,"0","incorrect",2,0,"1","0","0","1","0","0","0","0",2,3,1,5,4,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",4,5,6,5,5,2,4,4,5,5,7,7,1,2,5,3,3,"1 to 2 hours ","2-5 times a day","Labour",39,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",5,3.66666666666667,4.66666666666667,5
458,"0","1","0","0","1",4,"2","correct",2,0,"1","0","0","1","0","0","0","0",2,4,1,3,5,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",5,4,4,4,5,4,3,3,3,3,5,5,5,2,2,2,2,"Less than 1/2 hour ","Once a day	","Conservative",53,"Male","GCSE level, or equivalent","White",4.25,4,3,5
459,"0","0","1","0","1",2,"2","correct",2,0,"1","0","1","0","0","0","0","0",1,3,6,4,2,5,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",3,4,5,4,2,3,2,2,4,6,6,6,6,2,3,2,3,"1/2 hour to 1 hour ","Once a day	","Labour",29,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",4,2.33333333333333,4,6
460,"0","0","1","1","0",3,"1","incorrect",1,0,"0","0","0","1","0","0","0","0",5,2,1,4,3,6,"","All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government",2,3,4,4,5,3,3,4,4,4,5,6,6,3,2,2,2,"None, No time at all ","2-5 times a day","I do not identify with any political party",23,"Female","Postgraduate (e.g. M.Sc, Ph.D)","White",3.25,3.66666666666667,4,5.66666666666667
461,"0","1","0","0","1",3,"1","incorrect",0,0,"0","0","0","0","0","0","0","0",2,5,1,3,6,4,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",3,3,3,3,3,2,2,4,4,4,6,6,6,2,3,2,2,"Less than 1/2 hour ","2-5 times a day","Labour",36,"Female","A-level, or equivalent","White",3,2.33333333333333,4,6
462,"0","1","0","1","0",2,"3","incorrect",3,0,"1","0","1","1","0","0","0","0",1,2,5,4,3,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",5,5,3,5,3,3,3,6,5,6,4,5,5,1,5,2,2,"1/2 hour to 1 hour ","Never","Labour",54,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",4.5,3,5.66666666666667,4.66666666666667
463,"0","1","0","1","0",3,"4","incorrect",3,0,"1","1","0","1","0","0","0","0",2,1,4,5,3,6,"","All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government",5,5,5,5,2,1,3,2,2,2,3,6,3,2,3,1,2,"None, No time at all ","Once a day	","I do not identify with any political party",51,"Male","A-level, or equivalent","White",5,2,2,4
464,"0","0","1","0","1",3,"Not sure","incorrect",0,1,"0","0","0","0","1","0","0","0",1,5,2,3,4,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",2,2,2,5,1,2,2,3,3,3,6,5,7,1,3,2,3,"Less than 1/2 hour ","Once every couple of days	","Liberal Democrat",23,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",2.75,1.66666666666667,3,6
465,"1","1","0","1","0",2,"2","correct",3,0,"1","0","1","1","0","0","0","0",4,2,3,1,5,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",5,5,5,5,1,2,1,3,3,5,7,7,7,1,4,1,2,"1 to 2 hours ","Never","I do not identify with any political party",61,"Male","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",5,1.33333333333333,3.66666666666667,7
466,"1","0","1","0","1",3,"3","incorrect",2,0,"0","0","1","1","0","0","0","0",1,2,3,4,5,6,"Campaigners","All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government",4,5,4,5,2,2,2,3,2,4,7,6,6,2,3,2,2,"1/2 hour to 1 hour ","2-5 times a day","Liberal Democrat",59,"Male","A-level, or equivalent","White",4.5,2,3,6.33333333333333
467,"1","1","0","0","1",2,"4","incorrect",3,1,"1","1","0","1","1","0","0","0",1,2,3,5,4,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",3,3,3,3,1,2,1,5,5,5,6,7,7,1,4,1,2,"Less than 1/2 hour ","2-5 times a day","Labour",53,"Female","A-level, or equivalent","White",3,1.33333333333333,5,6.66666666666667
